"date","Item","Element","Value"
2010-02-02,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-14.1
2010-02-02,"COCOA - ICE","Speculators net position (% of OI)",40.5
2010-02-02,"COFFEE C - ICE","Speculators net position (% of OI)",44.6
2010-02-02,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",43.3
2010-02-02,"CORN - CBoT","Speculators net position (% of OI)",30.5
2010-02-02,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",48.7
2010-02-02,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",17.6
2010-02-02,"FEEDER CATTLE - CME","Speculators net position (% of OI)",10
2010-02-02,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",57.6
2010-02-02,"GOLD - CE","Speculators net position (% of OI)",33.9
2010-02-02,"LEAN HOGS - CME","Speculators net position (% of OI)",44.8
2010-02-02,"LIVE CATTLE - CME","Speculators net position (% of OI)",43.6
2010-02-02,"MILK, Class III - CME","Speculators net position (% of OI)",-23.9
2010-02-02,"NATURAL GAS - NYME","Speculators net position (% of OI)",4.3
2010-02-02,"PALLADIUM - NYME","Speculators net position (% of OI)",56.5
2010-02-02,"PLATINUM - NYME","Speculators net position (% of OI)",43.1
2010-02-02,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",49.6
2010-02-02,"ROUGH RICE - CBoT","Speculators net position (% of OI)",50.3
2010-02-02,"SILVER - CE","Speculators net position (% of OI)",44.9
2010-02-02,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",17
2010-02-02,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",28.6
2010-02-02,"SOYBEANS - CBoT","Speculators net position (% of OI)",22.8
2010-02-02,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",14.1
2010-02-09,"COCOA - ICE","Smart money net position (% of OI)",-36.7
2010-02-09,"COFFEE C - ICE","Smart money net position (% of OI)",-39
2010-02-09,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-41.5
2010-02-09,"CORN - CBoT","Smart money net position (% of OI)",-27.7
2010-02-09,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-44.7
